prism_consumer_id,score
0,0.02823357
1,0.012607628
2,0.02734322
3,0.013124199
4,0.011108313
5,0.014550758
6,0.03376989
7,0.025690494
8,0.027774993
9,0.0263995
10,0.030972889
11,0.058294043
12,0.02094234
13,0.008501647
14,0.003147671
15,0.0028815414
16,0.031342536
17,0.026945302
18,0.030978885
19,0.019365441
20,0.027256511
21,0.009501752
22,0.018068612
23,0.0075332033
24,0.0043308376
25,0.007639777
26,0.024191076
27,0.007680525
28,0.06697698
29,0.007819106
30,0.044470605
31,0.049153373
32,0.035124034
33,0.02212762
34,0.057863817
35,0.029892147
36,0.007398229
37,0.043335475
38,0.043049008
39,0.016389968
40,0.020033624
41,0.03210118
42,0.004023988
43,0.04994229
44,0.017847484
45,0.017375315
46,0.46427378
47,0.0061916756
48,0.14286217
49,0.010579884
50,0.0125580225
51,0.009938872
52,0.023291424
53,0.1317298
54,0.023499306
55,0.19017251
56,0.061800193
57,0.016753074
58,0.012261997
59,0.0051036933
60,0.29904678
61,0.0036718058
62,0.37486658
63,0.019079847
64,0.0070615546
65,0.041953307
66,0.047762267
67,0.002844278
68,0.007855068
69,0.035445437
70,0.0042891917
71,0.0114333285
72,0.025266077
73,0.0057953103
74,0.016526796
75,0.0066863806
76,0.047208313
77,0.042480174
78,0.5453389
79,0.011244619
80,0.022446131
81,0.009110265
82,0.044445332
83,0.055531666
84,0.009644431
85,0.020801371
86,0.066266306
87,0.023341164
88,0.047608074
89,0.0039004101
90,0.010829339
91,0.022804601
92,0.009435839
93,0.010564945
94,0.014490159
95,0.12452874
96,0.0058310586
97,0.022371987
98,0.015774105
99,0.006526134
100,0.019142203
101,0.0095321685
102,0.004227772
103,0.047550637
104,0.014900218
105,0.035249565
106,0.014065431
107,0.017577015
108,0.02021926
109,0.040791184
110,0.05501574
111,0.036604866
112,0.009833403
113,0.0045748586
114,0.07775627
115,0.014089238
116,0.07477359
117,0.018271854
118,0.0064742463
119,0.02845754
120,0.46988758
121,0.019978052
122,0.006101612
123,0.0047693453
124,0.03342567
125,0.015331954
126,0.062194567
127,0.030074902
128,0.0395954
129,0.060879212
130,0.057755727
131,0.007858057
132,0.012309503
133,0.005537992
134,0.01757242
135,0.01880906
136,0.0482484
137,0.013315728
138,0.13779439
139,0.10341598
140,0.07815857
141,0.016656697
142,0.013997359
143,0.062192168
144,0.16492215
145,0.020803194
146,0.0076530334
147,0.022137502
148,0.017154248
149,0.013331569
150,0.017113384
151,0.08092648
152,0.022208907
153,0.0072924597
154,0.18428999
155,0.014949606
156,0.089098535
157,0.01655639
158,0.0065564644
159,0.009606389
160,0.007225139
161,0.009423231
162,0.05410803
163,0.004924952
164,0.00741916
165,0.008623143
166,0.022647886
167,0.04797071
168,0.013106126
169,0.03161897
170,0.016640147
171,0.0070456513
172,0.013613546
173,0.016408835
174,0.016419228
175,0.034277733
176,0.014555353
177,0.022058547
178,0.012110143
179,0.02698854
180,0.01811954
181,0.05963561
182,0.12889513
183,0.104037955
184,0.021431535
185,0.01596934
186,0.014715452
187,0.059796248
188,0.03645792
189,0.01055888
190,0.0059918356
191,0.012322061
192,0.0082353
193,0.033573426
194,0.012998228
195,0.007750112
196,0.582089
197,0.020627003
198,0.032263882
199,0.02526216
200,0.013053173
201,0.0028868208
202,0.018111259
203,0.10763996
204,0.005009973
205,0.009056539
206,0.018248267
207,0.012070537
208,0.07509895
209,0.016165752
210,0.030864898
211,0.0052326177
212,0.013216794
213,0.012029726
214,0.016804727
215,0.011923643
216,0.0123790335
217,0.0028460855
218,0.6667025
219,0.0500362
220,0.012237874
221,0.013162625
222,0.0036037555
223,0.05754644
224,0.022802206
225,0.03320323
226,0.06977185
227,0.08799986
228,0.0043747723
229,0.0034465166
230,0.011458567
231,0.047887493
232,0.009716814
233,0.0074179447
234,0.10667861
235,0.14027204
236,0.042295597
237,0.04614068
238,0.06979465
239,0.009943284
240,0.014829114
241,0.0114972945
242,0.0088921795
243,0.012811526
244,0.007528488
245,0.0040674848
246,0.020977426
247,0.2674725
248,0.02806217
249,0.042934246
250,0.01135311
251,0.07784941
252,0.008944978
253,0.018865826
254,0.06820891
255,0.01074335
256,0.011745043
257,0.013013708
258,0.08254784
259,0.009175816
260,0.03526013
261,0.009613719
262,0.06123692
263,0.0127334455
264,0.011827229
265,0.009158071
266,0.0220578
267,0.009707541
268,0.043440238
269,0.012080606
270,0.017255614
271,0.008451243
272,0.15491933
273,0.007827583
274,0.03899073
275,0.014793969
276,0.057931647
277,0.007963924
278,0.007183867
279,0.07477359
280,0.0058666756
281,0.0069520497
282,0.009922791
283,0.0143136
284,0.01673203
285,0.006576637
286,0.27217075
287,0.038755458
288,0.025148202
289,0.010198474
290,0.00453098
291,0.029056674
292,0.043602157
293,0.19882962
294,0.4102963
295,0.013203108
296,0.020277329
297,0.036541075
298,0.08695112
299,0.11077217
300,0.010109046
301,0.071914434
302,0.034791626
303,0.019441599
304,0.020599509
305,0.009150921
306,0.0039125537
307,0.009546671
308,0.026231216
309,0.0067067817
310,0.008471314
311,0.00728196
312,0.014710495
313,0.0069514206
314,0.090875484
315,0.009434075
316,0.02347956
317,0.04605319
318,0.005425659
319,0.21800488
320,0.019563293
321,0.34876916
322,0.054492183
323,0.012277791
324,0.05347084
325,0.02130743
326,0.011208573
327,0.0050697997
328,0.25789395
329,0.04455084
330,0.018150251
331,0.028606998
332,0.018010903
333,0.0120898625
334,0.010690796
335,0.027365757
336,0.027593458
337,0.09739652
338,0.0069971755
339,0.058141455
340,0.01526416
341,0.018971002
342,0.0073576407
343,0.018959098
344,0.023545723
345,0.08510805
346,0.056808546
347,0.003762335
348,0.040744044
349,0.0068766614
350,0.4335559
351,0.007275754
352,0.018492255
353,0.008233449
354,0.0073784394
355,0.038173188
356,0.0051619783
357,0.007743536
358,0.0066206655
359,0.24438341
360,0.012242388
361,0.017377544
362,0.02565678
363,0.021299193
364,0.027775606
365,0.048856836
366,0.005624942
367,0.014085071
368,0.08358326
369,0.016597996
370,0.007193403
371,0.018828526
372,0.025103403
373,0.016877165
374,0.006965227
375,0.005728497
376,0.041462358
377,0.01682796
378,0.009381611
379,0.026885718
380,0.14507061
381,0.015224833
382,0.015635053
383,0.13528675
384,0.0075809
385,0.017141582
386,0.0061298744
387,0.014035765
388,0.021891236
389,0.028361624
390,0.04670344
391,0.056682374
392,0.042910643
393,0.009457958
394,0.0040483945
395,0.12453329
396,0.020914624
397,0.022402428
398,0.010906061
399,0.017495364
400,0.007876424
401,0.0052008918
402,0.072118536
403,0.006294425
404,0.005263835
405,0.09098908
406,0.0237836
407,0.012840662
408,0.006711736
409,0.0066876477
410,0.020801086
411,0.037341025
412,0.0075707394
413,0.010400444
414,0.017843332
415,0.0056243152
416,0.03132773
417,0.008984592
418,0.0036849983
419,0.049020797
420,0.007882551
421,0.14002958
422,0.038264647
423,0.026092311
424,0.0042691585
425,0.017275978
426,0.059944108
427,0.12875415
428,0.012000101
429,0.0048873206
430,0.0068385424
431,0.008563422
432,0.72639793
433,0.2936543
