,class,precision,recall,f1-score,support
0,EDUCATION,0.998,0.988,0.993,3420.0
1,FOOD_AND_BEVERAGES,0.997,0.999,0.998,359084.0
2,GENERAL_MERCHANDISE,0.999,0.997,0.998,388671.0
3,GROCERIES,1.0,0.999,0.999,164487.0
4,MORTGAGE,1.0,1.0,1.0,841.0
5,OVERDRAFT,1.0,1.0,1.0,2790.0
6,PETS,0.998,0.997,0.998,6620.0
7,RENT,0.998,0.985,0.991,2225.0
8,TRAVEL,1.0,0.996,0.998,44968.0
9,macro avg,0.999,0.996,0.997,973106.0
10,weighted avg,0.998,0.998,0.998,973106.0
OVERALL_ACCURACY,,0.998,0.998,0.998,0.998
